X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,distance_3d,distance_travelled,bin
513165.043185721,7541811.170049912,NA,2.810487850199608,1.5808994157372795,2021-01-08T09:12:10Z,NA,NA,NA,NA,NA,15.31478575,67.99025341999999,622.4,1425,0.98141449600236,509.78599386659835,"(500,600]"
513165.0096786079,7541810.194318556,NA,2.8005142884615672,1.5752892872596316,2021-01-08T09:12:11Z,00:23:48,15.31478483,67.99024467,622.5,1426,15.31478483,67.99024467,622.5,1426,0.981414492374314,510.76740835897266,"(500,600]"
513165.0086847952,7541810.389425633,NA,2.7905407267235267,1.5696791587819838,2021-01-08T09:12:12Z,NA,NA,NA,NA,NA,15.31478483,67.99024642,622.35,1427,0.2461051785165254,511.0135135374892,"(500,600]"
513165.00769098254,7541810.584532705,NA,2.780567164985486,1.564069030304336,2021-01-08T09:12:13Z,00:23:50,15.31478483,67.99024817,622.2,1428,15.31478483,67.99024817,622.2,1428,0.2461051755631926,511.2596187130523,"(500,600]"
513165.2441060358,7541810.028273691,[1429.523326],2.7705936032474456,1.558458901826688,2021-01-08T09:12:14Z,NA,NA,NA,NA,NA,15.314790415,67.99024317,622.1500000000001,1429,0.6064784981980939,511.86609721125046,"(500,600]"
513165.4805211896,7541809.472014696,NA,2.7655380794744193,1.5556151697043608,2021-01-08T09:12:15Z,00:23:52,15.314796,67.99023817,622.1,1430,15.314796,67.99023817,622.1,1430,0.6064785185917301,512.4725757298422,"(500,600]"
513164.6394368691,7541808.983852372,NA,2.760482555701393,1.5527714375820336,2021-01-08T09:12:16Z,00:23:53,15.31477583,67.99023383,622.2,1431,15.31477583,67.99023383,622.2,1431,0.9776120342044248,513.4501877640466,"(500,600]"
513164.0790084693,7541808.86058581,NA,2.7554270319283667,1.5499277054597065,2021-01-08T09:12:17Z,NA,NA,NA,NA,NA,15.314762415,67.99023274999999,622.25,1432,0.5759988165577256,514.0261865806043,"(500,600]"
513163.51858001656,7541808.737319373,NA,2.7503715081553404,1.547083973337379,2021-01-08T09:12:18Z,00:23:55,15.314749,67.99023167,622.3,1433,15.314749,67.99023167,622.3,1433,0.575998841217735,514.6021854218221,"(500,600]"
513162.41029779863,7541808.7316750195,NA,2.745315984382314,1.5442402412150518,2021-01-08T09:12:19Z,NA,NA,NA,NA,NA,15.3147225,67.99023167,622.3,1434,1.1082965908559956,515.7104820126781,"(500,600]"
